question,meta,answer
Is the treatment of NRIC numbers applicable to other identification numbers?,"Individuals, NRIC Numbers
","The treatment for NRIC numbers also applies toother national identification numbers such asBirth Certificate numbers, Foreign Identification Numbers (FIN) and Work Permit numbers that are issued by the Singapore Government, in view that they are also permanent and irreplaceable identifiers that bear similar risks as NRIC numbers if indiscriminately collected, used or disclosed."
Is the treatment of NRIC numbers applicable to passport numbers?,"Individuals, NRIC Numbers
","While passport numbers are periodically replaced, they too are important identification numbers that can serve the same purposes as the NRIC, FIN, Work permit and Birth Certificate numbers. Therefore, organisations should accord passports similar treatment as that for NRICs ie.e refrain from collecting passport numbers. If there is a need to collect, organisations should limit their collection to partial passport numbers and ensure an appropriate level of security to protect the passport numbers collected."
When can an organisation retain my physical NRIC?,"Individuals, NRIC Numbers
","Organisations should not retain your physical NRIC unless required under the law. This is given the importance of the NRIC as a national identification document that is issued to all citizens and permanent residents of Singapore, and the impact to the individual should the NRIC be misplaced or stolen and used for illegal activities."
Is the treatment of the retention of the physical NRIC applicable to other identification documents (IDs) such as my driver's licence?,"Individuals, NRIC Numbers
","Yes, the positions taken for the retention of the physical NRIC apply to the retention of other IDs that contain the NRIC number (e.g. driver's licence, passport). This is because the risks associated with the indiscriminate retention of physical NRICs as collateral similarly apply to the retention of other IDs that contain NRIC numbers. Organisations that wish to retain such IDs should only do so where it is required under the law, and put in place the appropriate security arrangements to protect the personal data in their possession or under their control."
Do the following situations constitute collection of personal data - for example:(a) checking my NRIC to verify my identity at point of entry into a particular place; and(b) checking my NRIC to verify my age?,"Individuals, NRIC Numbers
","Where there is no intention to obtain control or possession of your physical NRIC for the purpose of establishing or verifying your identity, and no personal data is retained once the NRIC is immediately returned to you, the PDPC does not consider it to be a collection of personal data."
Can organisations collect partial NRIC numbers?,"Individuals, NRIC Numbers
","The PDPC recognises that organisations may wish to collect partial NRIC numbers when other alternatives are not satisfactory. Organisations that collect the last three numerical digits and checksum of the NRIC number (e.g. ""567A"" from the full NRIC number of ""S1234567A"") would not be considered to be collecting the full NRIC number, and therefore not subject to the treatment for NRIC numbers set out in the PDPC's advisory guidelines.Partial numbers are, however, considered personal data under the PDPA to the extent that an individual can be identified from the partial NRIC number, or from the number and other information to which the organisation has or is likely to have access. Organisations that collect partial NRIC numbers must still comply with the Data Protection Provisions of the PDPA, such as making reasonable security arrangements to protect the personal data in their possession or under their control from unauthorised disclosures."
Can organisations randomly generate NRIC numbers?,"Individuals, NRIC Numbers
","An organisation that randomly generates a NRIC number (e.g. by applying an algorithm or using a validator to ascertain that the randomly generated number is a valid NRIC number) will be considered as having collected the NRIC number. The collection, use and disclosure of such numbers is subject to the treatment set out in the Advisory Guidelines on the PDPA for NRIC and other National Identification Numbers, i.e. organisations may not collect, use or disclose such numbers unless it is required by the law or necessary to accurately establish or verify the identity of the individualto a high degree of fidelity."
Can I choose to use my NRIC number as a login/account ID or as a primary identifier with an organisation?,"Individuals, NRIC Numbers
","You may choose to use your NRIC number as a preferred identifier, for example, as your membership or login ID. You should make your own assessment of the risks associated with using your NRIC number for the purposes that do not require it."
"When must organisations stop collecting, using and disclosing my NRIC number, if they are no longer supposed to do so?","Individuals, NRIC Numbers
",Organisations will need to ensure that the necessary operational changes to business practices are made before 1 September 2019.
"What if organisations continue to collect, use or disclose my NRIC number in circumstances that are not permitted after 1 September 2019?","Individuals, NRIC Numbers
","In the event that an organisation collects, uses or discloses your NRIC number contrary to the positions set out in the PDPC's advisory guidelines after 1 September 2019, you may lodge a complaint with the PDPC. We will investigate the matter to establish whether there is a breach of the PDPA. If the failure to adhere to the guidance provided results in a breach of the Data Protection Provisions, the penalties under the PDPA will apply."
Can commercial buildings or condominiums collect my NRIC number as a visitor? ,"Individuals, NRIC Numbers
","Property management and building owners should avoid collecting NRIC numbers and are encouraged to use alternative ways to address their requirements. For instance, organisations may consider checking a visitor's photo identification document and recording the visitor's full name and contact details (e.g. mobile number), or partial NRIC number where relevant."
"Are utility providers or retailers (e.g. electricity retailers) allowed to collect, use or disclose my NRIC number (or copy of my NRIC) for the purpose of providing/facilitating utility services?","Individuals, NRIC Numbers
","YourNRIC number is likely to be necessary to accurately establish or verify your identity for the purposes of provisioning, porting or termination of essential services (e.g. electricity, water, gas). For example, if you close an account with an electricity retailer, the inability to accurately identifyyoumay pose a risk of significant impact or harm to you, given that the utility supply is essential for everyday living.Where organisations can collect NRIC numbers of individuals, they will have to comply with the Data Protection Provisions under the PDPA, such as ensuring an appropriate level of security to prevent unauthorised access, collection, use, disclosure or similar risks, and ceasing to retain the data as soon as the purpose for which it was collected is no longer necessary for business or legal purposes."
"Can insurance companies collect, use and disclose my NRIC number (or copy of my NRIC) as a customer?","Individuals, NRIC Numbers
","For transactions related to financial and insurance matters, organisations are permitted to collect your NRIC number (or copy of your NRIC) after informingyou on the purposes for the collection, use or disclosure of the personal data, and seekingyour consent.Where organisations can collect NRIC numbers of individuals, they will have to comply with the Data Protection Provisions under the PDPA, such as ensuring an appropriate level of security to prevent unauthorised access, collection, use, disclosure or similar risks; and ceasing to retain the data as soon as the purpose for which it was collected is no longer necessary for business or legal purposes."
Can massage establishments collect my NRIC number (or copy of my NRIC) as a customer?,"Individuals, NRIC Numbers
","Organisations that are licensed to operate under the Massage Establishment Act, such as a spa or beauty centre, are required to collect NRIC numbers of customers. You may wish to refer to the Advisory Guidelines on the PDPA forNRIC and Other National Identification Numbers where we have provided a similar example. 
Where
organisations can collect NRIC numbers of individuals, they will have to comply
with the Data Protection Provisions under the PDPA, such as ensuring an
appropriate level of security to prevent unauthorised access, collection, use,
disclosure or similar risks, and ceasing to retain the data as soon as the
purpose for which it was collected is no longer necessary for business or legal
purposes."
Can telecommunication providers collect my NRIC number (or copy of my NRIC) as a customer?,"Individuals, NRIC Numbers
","Organisations that are licensed to operate under the Telecommunications Act, such as to provide fixed line or mobile services, are required to collect NRIC numbers of customers. You may wish to refer to the Advisory Guidelines on the PDPA for NRIC and Other National Identification Numbers where we have provided a similar example.Where organisations can collect NRIC numbers of individuals, they will have to comply with the Data Protection Provisions under the PDPA, such as ensuring an appropriate level of security to prevent unauthorised access, collection, use, disclosure or similar risks, and ceasing to retain the data as soon as the purpose for which it was collected is no longer necessary for business or legal purposes."
Are veterinary clinics or hospitals allowed to collect my NRIC number (or copy of my NRIC) as a customer?,"Individuals, NRIC Numbers
","Organisations that are licensed to operate under the Animals and Birds Act are required to collect the NRIC numbers of customers.Where organisations can collect NRIC numbers of individuals, they will have to comply with the Data Protection Provisions under the PDPA, such as ensuring an appropriate level of security to prevent unauthorised access, collection, use, disclosure or similar risks, and ceasing to retain the data as soon as the purpose for which it was collected is no longer necessary for business or legal purposes."
Are vehicle rental companies allowed to collect my NRIC number (or copy of my NRIC) as a customer? ,"Individuals, NRIC Numbers
","Vehicle rental/sharing companies are required under the Road Traffic Act to collect the NRIC number of customers. In addition, we note that in case of any accidents or traffic violations, such information are required for insurance and investigation related purposes.Where organisations can collect NRIC numbers of individuals, they will have to comply with the Data Protection Provisions under the PDPA, such as ensuring an appropriate level of security to prevent unauthorised access, collection, use, disclosure or similar risks, and ceasing to retain the data as soon as the purpose for which it was collected is no longer necessary for business or legal purposes."
Can moneychangers collect my NRIC number (or copy of my NRIC) as a customer?,"Individuals, NRIC Numbers
","Organisations that are licensed to operate under the Money-changing and Remittance Business Act are required to collect NRIC numbers of customers for certain transactions. Before doing so, the moneychanger will have to notify the customer of the purpose.Where organisations can collect NRIC numbers of individuals, they will
have to comply with the Data Protection Provisions under the PDPA, such as
ensuring an appropriate level of security to prevent unauthorised access,
collection, use, disclosure or similar risks, and ceasing to retain the data as
soon as the purpose for which it was collected is no longer necessary for
business or legal purposes."
Are Private Education Institutions (PEIs) allowed to collect a copy of my NRIC/passport as a student?(new),"Individuals, NRIC Numbers
",PEIs should not collect copies of their students' NRIC/passport. They may only collect their students' NRIC/passport number in compliance with regulation 21(1) of the Private Education Regulations 2009 for record-keeping.
How can the DNC Registry help me?,"Individuals, Do Not Call Registry
","The DNC Registry lets you opt out of marketing messages addressed to your Singapore telephone number, such as those which promote or advertise goods or services, allowing you to have more control over the kind of messages you receive on your telephone, mobile telephone, or fax machine.Organisations are required to check the DNC Registry within 30 days before sending any telemarketing message. Therefore, you should not receive telemarketing messages from organisations, which are covered by the scope of the DNC Registry, 30 days after registration."
When did the DNC Registry come into effect?,"Individuals, Do Not Call Registry
",The DNC provisions came into effect on 2 January 2014.
What telephone numbers can be registered with the DNC Registry?,"Individuals, Do Not Call Registry
","The DNC Registry accepts registration of only 8-digit Singapore telephone numbers, including mobile, home and office numbers. Any Singapore number that begins with 3, 6, 8 or 9 can be registered. Please note that access to the device of the number that is being registered is required.For registration of office phone numbers, in general, only the account-holder or subscriber of the telephone line should register the telephone number on the DNC Registry. Where the account-holder or subscriber of the telephone line is the organisation and not the employee, employees should seek permission of the organisation if they wish to register their business numbers. In any case, the sending of Business-to-Business (B2B) marketing messages is not currently covered by the requirements relating to the DNC Registry."
Will my telephone number registered with the DNC Registry expire?,"Individuals, Do Not Call Registry
","Registration of telephone numbers on the DNC Registry does not expire. Your registration will only be removed when you terminate your number, or when you remove your number from the DNC Registry."
Do I have to pay to register my telephone number with the DNC Registry?,"Individuals, Do Not Call Registry
",Registration with the DNC Registry is free-of-charge.
Which Register should I add my telephone number to?,"Individuals, Do Not Call Registry
","There are three Registers on the DNC Registry:No Voice Call Register,  to opt out of receiving telemarketing callsNo Text Message Register, to opt out of receiving telemarketing text messages, eg. SMS/MMSNo Fax Message Register, to opt out of receiving telemarketing faxes, or if your number is not a fax lineDo note that you may still receive telemarketing messages or calls in the first 30 days from the date of registering your number."
How do I register my number?,"Individuals, Do Not Call Registry
","There are 3 modes to register your mobile number with the DNC Registry:Online registration via the DNC Registry website at www.dnc.gov.sgSMS registration using your mobile phonePhone registration via our toll free numbersPlease see here for more details, or watch a short video about the DNC Registry for Consumers. If you register online via the DNC Registry website, you will be brought to the confirmation page upon successful registration. If you register via SMS, a confirmation SMS will be sent to the number registered. If you register via the toll free number, you will receive confirmation at the end of the call. You can also visit the DNC Registry website to check the status of your registration."
How do I register my telephone number if it has a caller ID blocking service?,"Individuals, Do Not Call Registry
","The DNC Registry automatically detects the number of the device you SMS or call from. If your number has caller ID blocking service, please register online at www.dnc.gov.sg."
How do I deregister my telephone number with the DNC Registry?,"Individuals, Do Not Call Registry
","There are 3 modes to deregister:Online deregistration via the DNC Registry website at www.dnc.gov.sgSMS deregistration using your mobile phone with the ""Menu"" optionPhone deregistration via our toll free number with the ""Menu"" optionPlease see here for more details."
Do I have to re-register with the DNC Registry if I change my telephone number?,"Individuals, Do Not Call Registry
",You will need to register the new telephone number when you change your telephone number.Please see here for details on registering your telephone number.
Do I have to remove my number from the DNC Registry if I terminate my number?,"Individuals, Do Not Call Registry
",Please deregister from the DNC Registry if you have terminated your number.Please see here for details on deregistration of your telephone number.
Will I stop receiving telemarketing immediately after I have registered my number with the DNC Registry?,"Individuals, Do Not Call Registry
","You may continue to receive telemarketing calls and messages within the next 30 days after registration.You may also continue to receive messages, which are not covered by the scope of the DNC Registry, such as: Messages for which you have given the organisation your clear and unambiguous consent in written or other accessible form to receive;Service calls or reminder messages in respect of services that you have bought; Business-to-Business telemarketing; orMessages related to the subject of your ongoing relationship with the organisation."
Do organisations have to check the DNC Registry for all telemarketing messages they intend to send out?,"Individuals, Do Not Call Registry
","Generally, organisations are required to check the DNC Registry before sending telemarketing messages to a Singapore telephone number, unless: the subscriber or user of the number has given the organisation clear and unambiguous consent in written or other evidential form for the organisation to send telemarketing messages to the number; the message falls within an exclusion in the Eighth Schedule of the PDPA (for example, if it is solely for the purpose of conducing market research, or for business-to-business marketing); or the organisation is able to rely on the Personal Data Protection (Exemption from Section 43) Order 2013 for ongoing relationships to send the message."
Can I choose to receive promotional messages from selected organisations if I register with the DNC Registry?,"Individuals, Do Not Call Registry
","You may receive telemarketing messages (via voice calls, text or fax messages) from selected organisations if you give them your clear and unambiguous consent to contact you for such purposes, even if you have registered your telephone number with the DNC Registry. You may also continue receiving promotions via text or fax messages (but not voice calls) that are related to the subject of any ongoing relationship (such as memberships or subscriptions) that you may have with these organisations."
Will I receive all sorts of promotional messages from organisations relying on the Exemption Order?,"Individuals, Do Not Call Registry
","An organisation that relies on the Personal Data Protection (Exemption from Section 43) Order 2013 to send you promotional messages has to fulfil the following conditions: It must have an ongoing relationship with you;It may only send text or fax messages (but not voice calls) that is related to the subject of its ongoing relationship with you; and It must provide an opt-out facility within the body of the message. The opt-out facility may be provided via a Singapore telephone number or short code (in the case of a specified text message), or a fax number (in the case of a specified fax message). When you opt out, the organisation can no longer rely on the exemption and must stop sending such messages to your Singapore telephone number30 days after you have opted out.An organisation will also not be able to rely on this exemption if you have withdrawn consent (and the prescribed period has lapsed) or indicated that you do not consent to the sending of any telemarketing messages."
What is meant by an 'ongoing relationship'?,"Individuals, Do Not Call Registry
","Ongoing relationship' means a relationship, which is on an ongoing basis, between a sender and subscriber/user of a Singapore telephone number, arising from the carrying on or conduct of a business or activity (commercial or otherwise) by the sender. An ongoing relationship may include, for example, a subscription, membership, account, loan or comparable relationships involving the ongoing purchase or use of goods and services supplied by the sender to the individual. A series of one-off transactions or a past relationship, without more, is not sufficient to constitute an ongoing relationship."
Will the DNC Registry rules cover overseas telemarketers?,"Individuals, Do Not Call Registry
","The PDPA shall apply to a telemarketing message addressed to a Singapore telephone number where:the sender is present in Singapore when the message is sent; or the recipient of the message is present in Singapore when the message is accessed. If a Singapore organisation outsources the telemarketing function overseas, the Singapore organisation that authorised the sending of the message will need to comply with the DNC provisions and will be responsible for the sending of the message.If both the telemarketing organisation and the organisation which outsourced its telemarketing function are overseas organisations, and the recipient is overseas, the DNC provisions will not apply. For example, an overseas telecom service operator sending messages promoting their cheaper IDD service to Singapore subscribers roaming on the overseas telecom network will not need to check the DNC Registry."
Are business-to-business marketing calls or messages covered under the DNC Registry?,"Individuals, Do Not Call Registry
","A business-to-business (B2B) marketing call, SMS/MMS or fax message (B2B marketing message) refers to a marketing message which is sent to an organisation, for any purpose of the receiving organisation.A marketing message sent to an individual acting in a personal or domestic capacitywould not be considered a B2B marketing message, even if the message purports to be for a purpose of an organisation. B2B marketing messages are not within the scope of the DNC Registry. The PDPC recognises that B2B marketing calls or messages may be essential to the day-to-day operations between businesses and note that most consumers will not be affected by B2B marketing messages that are sent to organisations.Organisations may also register their business telephone numbers with the DNC Registry. To be clear, B2B marketing messages may stillbe sent to these registered business numbers if they are for a purpose of the organisation. An individual whose telephone or fax number is used as both a personaland business number may therefore still receive B2B marketing messages that are sent to his telephone or fax number as a business phone number."
Are telemarketing messages sent through applications such as WhatsApp covered under the DNC provisions?,"Individuals, Do Not Call Registry
","The DNC provisions apply to the sending of telemarketing messages addressed to Singapore telephone numbers registered with the DNC Registry. In situations where telemarketing messages are sent through smartphone applications that use a telephone number as an identifier, such as WhatsApp, such messages will be covered by the DNC provisions. Telemarketing messages sent via other technologies such as those using a mobile data connection will be treated similarly, as long as the message is addressed to a Singapore telephone number. However, some data-based phone applications do not use phone numbers as identifiers, and may use other identifiers such as email addresses instead. Telemarketing messages that are sent through such applications will not be covered by the DNC provisions."
Are emails and mail delivered by post covered under the DNC Registry?,"Individuals, Do Not Call Registry
","The DNC Registry covers marketing messages sent to Singapore telephone numbers. Emails and mail delivered by post are not included within the scope of the DNC Registry.Emails are not included within the scope of the DNC Registry as unsolicited emails can be blocked through email filters. They also cause less of a nuisance to delete when received, as compared to telephone calls, SMS and fax messages, which are more difficult for the individual to filter. Furthermore, the Spam Control Act (SCA) helps to complete the framework by setting out requirements in relation to the sending of unsolicited commercial electronic messages in bulk. Please refer to our FAQ on the SCA to find out more about the differences between the PDPA and the SCA.  As for junk mail, there are existing ways for individuals to reduce the volume of such mail, such as through the use of letterboxes with anti-junk mail features. Junk mail may also be less of a nuisance than telephone calls, SMS or MMS messages, or faxes, which are more likely to inconvenience an individual or interrupt his activities."
"If an organisation has obtained consent from me before I registered with the DNC Registry, can the organisation still send marketing messages to me?","Individuals, Do Not Call Registry
","Yes, the organisation may send marketing messages to your Singapore telephone number if it has obtained your clear and unambiguous consent to the sending of the marketing message, in written or other accessible form, regardless of when you registered your number with the DNC Registry.The individual, however, shall be allowed to withdraw the consent given but this shall not affect the legal consequences arising from the withdrawal."
How do I report a suspicious scam message or call?,"Individuals, Do Not Call Registry
","Scam messages generally do not promote goods, services, suppliers of goods and services, and are thus unlikely to be specified messages for the purposes of the DNC provisions. If you suspect that the call or message you received is a scam, you are advised tonotify the Police by:lodging a Police Report;calling the National Crime Prevention Council's 'X Ah Long' Hotline at 1800-924-5664 (1800-X-AH-LONG); orproviding information via I-Witness."
"What should I do if I receive an unsolicited SMS or call related to loans, financial assistance or online gambling from an unknown source?","Individuals, Do Not Call Registry
","Do not reply to such an SMS or call. Do not interact in any way.Unsolicited SMSes or calls from unknown sources that are related to loans, financial assistance or online gambling are likely to be associated with unlicensed moneylending and illegal gambling activities.The PDPC investigates all complaints regarding unsolicited telemarketing SMSes or calls seriously. However, unlicensed moneylending and illegal gambling are serious criminal offences in Singapore where the Police are the relevant authority to investigate such offences.If you receive such SMSes or calls, please notify the Police directly by:lodging a Police Report;calling the National Crime Prevention Council's 'X Ah Long' Hotline at 1800-924-5664 (1800-X-AH-LONG); orproviding information via I-Witness.Complaints received by the PDPC relating to such activities will be referred to the Police."
How do I lodge a complaint if I suspect a breach of the PDPA?,"Individuals, Enforcement
","Please click here to lodge a complaint on a DNC Registry Offence or a personal data protection related offence. Alternatively, you may also submit a complaint to the PDPC by calling 6377 3131. While there is no specific time frame during which a complaint may be lodged, you may wish to note that the evidence may no longer be available to substantiate your case if the complaint is lodged a significant period after the telemarketing message/call was received."
Do I need to submit any evidence to the PDPC when lodging a complaint?,"Individuals, Enforcement
","The PDPC will require complete information about the case such as the date and time, and other details of the telemarketing message in order to proceed with the investigation. If available, evidence supporting the complaint should be submitted to the PDPC, such as:Screenshots of the message (including the message date and time of the message);Call logs of the telephone number that made the telemarketing call to you; The original fax message received by you; andDocuments showing that you have withdrawn consent from receiving telemarketing messages/calls from the organisation concerned.You may lodge a complaint even if documentary evidence is not available if there is sufficient evidence for the PDPC to investigate further. In order to ensure the successful prosecution of the organisation that sent you the specified message, you should also retain the originals of evidence not submitted to PDPC, including the equipment that received the telemarketing message (such as mobile phones). This evidence may need to be obtained by the PDPC in the course of investigations."
Will I need to provide my statement after lodging a complaint?,"Individuals, Enforcement
","You may need to provide a statement, depending on the nature and circumstances of each complaint. If necessary, PDPC will contact you to arrange for a convenient time for your statement to be taken."
Can I choose to remain anonymous when lodging a complaint?,"Individuals, Enforcement
","In general, we require your personal particulars in order to investigate a complaint."
Will I receive any reply from the PDPC after reporting a possible DNC offence?,"Individuals, Enforcement
",You will receive a reply from the PDPC within 5 working days of the receipt of your complaint. The PDPC will update you subsequently to inform you of the outcome of the investigation.
Will I be expected to attend Court after making a report involving DNC breaches?,"Individuals, Enforcement
","You may have to appear in Court and give evidence in cases that involve court prosecution. Where Court attendance is required, a subpoena will be served to notify  you of when your attendance is required."
Will the PDPC investigate telemarketing messages sent from overseas?,"Individuals, Enforcement
","The PDPA applies in relation to a specified message sent to a Singapore telephone number where the sender is in Singapore when the message is sent, or the recipient is in Singapore when the message is received.Where a telemarketing message is sent from overseas and at least one of the senders is in Singapore, the PDPC will investigate the complaint and take the appropriate action against the sender(s) in Singapore.In relation to overseas senders, the PDPC will, where appropriate, work with our overseas counterparts to investigate such cases."
What if I receive a marketing text or fax message from an organisation with which I have an ongoing relationship with (e.g. regular customer or membership)?,"Individuals, Enforcement
","The PDPC recognises that some consumers may wish to receive information on goods or services from organisations they have an ongoing relationship with. Otherwise, these consumers may miss such messages if they are registered with the DNC Registry or if the organisation did not obtain their clear consent to send such messages. The PDPC therefore allows organisations which you are in an ongoing relationship with to send you telemarketing messages related to the purchased product or service.You may lodge a complaint with the PDPC for messages that fall under the Exemption Order if: you have withdrawn your consent for the sender to send you such marketing messages more than 30 days ago; you have opted out from receiving such telemarketing messages through an opt-out notice more than 30 days ago; oryou have indicated to the organisation that you do not consent for the sender to send you such telemarketing messages."
